Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
89.215.15.0/24;89.215.0.0 - 89.215.63.255;ASSIGNED PA;A1_PLovdiv;A1 Bulgaria EAD,Plovdiv,Bulgaria;89.215.15.0/24;BLIZOO;AS13124
89.215.244.0/24;89.215.244.0 - 89.215.244.255;ASSIGNED PA;BOJURISHTE;162, kn Boris I,Bojurishte,Bulgaria;89.215.128.0/17;A1 BG;AS13124
85.118.75.0/24;85.118.64.0 - 85.118.95.255;ALLOCATED PA;BG-MTELNET-20050404;;85.118.72.0/21,85.118.72.0/21;Mtel-test,Mtel-test;AS12716,AS8717
151.251.192.0/19;151.251.0.0 - 151.251.255.255;ALLOCATED PA;BG-MTELNET-20120821;;151.251.0.0/16;A1 Bulgaria EAD;AS13124
92.247.212.0/22;92.247.212.0 - 92.247.215.255;ASSIGNED PA;GPON-22;;92.247.212.0/22;;AS29580
89.215.61.0/24;89.215.0.0 - 89.215.63.255;ASSIGNED PA;A1_PLovdiv;A1 Bulgaria EAD,Plovdiv,Bulgaria;89.215.61.0/24;BLIZOO;AS13124
89.215.212.0/24;89.215.212.0 - 89.215.212.255;ASSIGNED PA;A1BG-Sofia-PPP;A1 Bulgaria EAD clients;89.215.128.0/17;A1 BG;AS13124
151.251.128.0/18;151.251.0.0 - 151.251.255.255;ALLOCATED PA;BG-MTELNET-20120821;;151.251.0.0/16;A1 Bulgaria EAD;AS13124
92.247.7.0/24;92.247.0.0 - 92.247.7.255;ASSIGNED PA;SPNET;Spectrum Net Sofia;92.247.0.0/20;Spectrum NET PA space;AS8717
95.140.212.0/24;95.140.212.0 - 95.140.213.255;ASSIGNED PA;A1-BG-Net;A1 Bulgaria EAD;95.140.212.0/24;;AS8717
213.169.43.0/24;213.169.38.0 - 213.169.44.255;ASSIGNED PA;SPNET-PPPOE-POOLS;Spectrum NET Ltd.;213.169.32.0/19;Spectrum NET PA space;AS8717
80.253.52.0/23;80.253.48.0 - 80.253.55.255;ASSIGNED PA;A1-CORE;A1 Bulgaria EAD,A1 Stara Zagora;80.253.52.0/23;A1 BG;AS13124
85.130.63.0/24;85.130.63.0 - 85.130.63.255;ASSIGNED PA;A1BG-docsis-dimitrovgrad;A1 Bulgaria EAD;85.130.63.0/24;A1 BG;AS13124
95.111.41.0/24;95.111.40.0 - 95.111.47.255;ASSIGNED PA;GOCE-DELCHEV-SOF;Goce Delchev quarter,Megalan Network Real IP address space;95.111.0.0/17,95.111.0.0/17;BG-MEGALAN-20081219;AS35141,AS8717
84.252.44.0/22;84.252.32.0 - 84.252.47.255;ASSIGNED PA;EKK;EKK dhcp ddns pool for Kiustendil;84.252.44.0/22;;AS13124
92.247.187.0/24;92.247.187.0 - 92.247.187.255;ASSIGNED PA;DATA-TECH;Data Technology;92.247.128.0/18;Spectrum NET PA space;AS8717
213.226.49.0/24;213.226.49.0 - 213.226.49.255;ASSIGNED PA;A1-BULGARIA;Second Pool for Internet CSD Customers 0881000,INFRA-AW for Project "CSD",Responsible Devision for Project: ITS;213.226.49.0/24,213.226.49.0/24;A1 Bulgaria EAD,A1 Bulgaria EAD;AS12716,AS8717
176.222.0.0/20;176.222.0.0 - 176.222.15.255;ALLOCATED PA;BG-MTELNET-20050404;;176.222.0.0/20,176.222.0.0/20;Mass Market Lte,Mass Market Lte;AS12716,AS8717
89.215.44.0/22;89.215.0.0 - 89.215.63.255;ASSIGNED PA;A1_PLovdiv;A1 Bulgaria EAD,Plovdiv,Bulgaria;89.215.0.0/18;A1 BG;AS13124
92.247.218.0/24;92.247.216.0 - 92.247.223.255;ASSIGNED PA;GPON-SofiaNorth;GPON Services;92.247.192.0/18;SPNET;AS29580
195.34.126.0/24;195.34.126.0 - 195.34.126.255;ASSIGNED PA;SPNET;Public Services mtel.bg bob.bg;195.34.96.0/19;Spectrum NET PA space;AS8717
217.9.236.0/24;217.9.236.0 - 217.9.236.255;ASSIGNED PA;A1BG-MKR-EOOD-Striama;A1 Bulgaria EAD,Sofia,Bulgaria;217.9.236.0/24;BLIZOO;AS13124
151.251.36.0/22;151.251.0.0 - 151.251.255.255;ALLOCATED PA;BG-MTELNET-20120821;;151.251.0.0/16;A1 Bulgaria EAD;AS13124
130.204.213.0/24;130.204.212.0 - 130.204.215.255;ASSIGNED PA;NEW-DOCSIS-7;A1 Bulgaria EAD,Sofia Bacho Kiro;130.204.212.0/22;;AS13124
195.34.123.0/24;195.34.122.0 - 195.34.123.255;ASSIGNED PA;STANGA-BG;Stanga Ltd.;195.34.96.0/19;Spectrum NET PA space;AS8717
92.247.210.0/24;92.247.210.0 - 92.247.211.255;ASSIGNED PA;GPON-Sf11;;92.247.210.0/23;;AS29580
95.111.119.0/24;95.111.0.0 - 95.111.127.255;ALLOCATED PA;BG-MTELNET-20081219;;95.111.0.0/17,95.111.0.0/17;BG-MEGALAN-20081219;AS35141,AS8717
151.251.48.0/20;151.251.0.0 - 151.251.255.255;ALLOCATED PA;BG-MTELNET-20120821;;151.251.0.0/16;A1 Bulgaria EAD;AS13124
