Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
212.36.4.240/28;212.36.4.0 - 212.36.4.255;ASSIGNED PA;SPNET;Techno-Link (tm);212.36.4.0/24;Spectrum NET,BG-ONLY NETS;AS8717
212.91.167.192/28;212.91.167.192 - 212.91.167.207;ASSIGNED PA;dcp_solutions;;212.91.160.0/19;Spectrum NET PA space;AS8717
213.169.49.160/28;213.169.48.0 - 213.169.49.255;ASSIGNED PA;MTEL-ITS;;213.169.32.0/19;Spectrum NET PA space;AS8717
80.253.54.128/25;80.253.48.0 - 80.253.55.255;ASSIGNED PA;A1-CORE;A1 Bulgaria EAD,A1 Stara Zagora;80.253.54.0/24,80.253.54.0/24;A1 BG;AS13124,AS8717
92.247.252.128/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.231.64/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
176.12.34.128/27;176.12.34.0 - 176.12.35.255;ASSIGNED PA;New_PPOE_clients;New PPOE clients;176.12.0.0/18,176.12.0.0/18;Spectrum NET PA space,Spectrum NET PA space;AS29580,AS8717
212.50.4.160/28;212.50.4.0 - 212.50.4.255;ASSIGNED PA;SPNET;Spectrum Net infrastructure VPN;212.50.4.0/24;SPNET specific announce;AS8717
217.9.225.64/28;217.9.224.0 - 217.9.225.255;ASSIGNED PA;A1-225;A1 Bulgaria EAD,Sofia,Bulgaria;217.9.225.0/24;A1 BG,Multiple /30 Allocations;AS13124
217.10.246.32/27;217.10.240.0 - 217.10.255.255;ALLOCATED PA;BG-MTELNET-20021107;;217.10.240.0/21;Eurocom Cable Management Bulgaria Ltd.;AS13124
195.34.102.112/28;195.34.96.0 - 195.34.127.255;ALLOCATED PA;BG-MTELNET-970819;;195.34.96.0/19;Spectrum NET PA space;AS8717
195.24.55.16/28;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.32.0/19,195.24.32.0/19;Orbitel customer and internal;AS8672,AS8717
92.247.0.16/28;92.247.0.0 - 92.247.7.255;ASSIGNED PA;SPNET;Spectrum Net Sofia;92.247.0.0/20;Spectrum NET PA space;AS8717
92.247.247.192/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.224.0/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.232.16/28;92.247.232.0 - 92.247.239.255;ASSIGNED PA;GPON-Sofia;GPON Services;92.247.192.0/18;SPNET;AS29580
195.24.38.160/27;195.24.38.128 - 195.24.38.255;ASSIGNED PA;ORBITEL-WIRELESS-SOFIA-1;Orbitel Inc,Sofia,wireless segment;195.24.32.0/19,195.24.32.0/19;Orbitel customer and internal;AS8672,AS8717
80.253.48.80/28;80.253.48.0 - 80.253.55.255;ASSIGNED PA;A1-CORE;A1 Bulgaria EAD,A1 Stara Zagora;80.253.48.0/21;A1 Bulgaria EAD SZ;AS13124
92.247.234.96/28;92.247.232.0 - 92.247.239.255;ASSIGNED PA;GPON-Sofia;GPON Services;92.247.192.0/18;SPNET;AS29580
