Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
88.203.136.224/28;88.203.136.0 - 88.203.139.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;88.203.136.0/21;Spectrum NET PA space;AS8717
78.83.252.128/27;78.83.248.0 - 78.83.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;78.83.248.0/21,78.83.248.0/21;SPNET,Spectrum NET PA space;AS29580,AS8717
84.242.165.128/27;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
195.34.111.160/28;195.34.111.0 - 195.34.111.255;ASSIGNED PA;BIT-INC-VOIP;Bulgarian Information Technologies Inc.;195.34.96.0/19;Spectrum NET PA space;AS8717
212.50.14.176/28;212.50.14.176 - 212.50.14.191;ASSIGNED PA;AIM;Browswave AD;212.50.0.0/19;Spectrum NET PA space;AS8717
212.91.167.192/28;212.91.167.192 - 212.91.167.207;ASSIGNED PA;dcp_solutions;;212.91.160.0/19;Spectrum NET PA space;AS8717
84.242.136.48/28;84.242.136.0 - 84.242.136.255;ASSIGNED PA;ORBITEL-PLOVDIV;PPP links to customers,Plovdiv;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
195.24.40.48/28;195.24.40.0 - 195.24.40.127;ASSIGNED PA;ORBITEL-PLOVDIV-1;Orbitel Plovdiv pop - routers, access server,Plovdiv, Bulgaria;195.24.40.0/22;Orbitel;AS8672
195.24.33.48/28;195.24.33.0 - 195.24.33.127;ASSIGNED PA;ORBITEL-BURGAS-1;Orbitel Burgas pop - routers, access server,Burgas, Bulgaria;195.24.32.0/19;Orbitel customer and internal;AS8672
80.253.54.128/25;80.253.48.0 - 80.253.55.255;ASSIGNED PA;A1-CORE;A1 Bulgaria EAD,A1 Stara Zagora;80.253.54.0/24;A1 BG;AS13124
195.24.62.192/26;195.24.62.128 - 195.24.62.255;ASSIGNED PA;Broadband;Broadband,Sofia;195.24.60.0/22;Orbitel;AS8672
92.247.252.128/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.231.64/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
212.36.4.240/28;212.36.4.0 - 212.36.4.255;ASSIGNED PA;SPNET;Techno-Link (tm);212.36.4.0/24;Spectrum NET,BG-ONLY NETS;AS8717
84.242.136.16/28;84.242.136.0 - 84.242.136.255;ASSIGNED PA;ORBITEL-PLOVDIV;PPP links to customers,Plovdiv;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
87.227.150.192/27;87.227.150.0 - 87.227.151.255;ASSIGNED PA;VOICE-Burgas;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
