Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
87.227.145.16/28;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
85.196.132.128/25;85.196.132.0 - 85.196.135.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;85.196.132.0/22;Spectrum NET PA space;AS8717
84.242.128.32/28;84.242.128.0 - 84.242.128.255;ASSIGNED PA;Orbitel-Radio-net;Radio Relay network;84.242.128.0/24;Orbitel customer;AS198868
84.242.165.128/27;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
195.34.111.160/28;195.34.111.0 - 195.34.111.255;ASSIGNED PA;BIT-INC-VOIP;Bulgarian Information Technologies Inc.;195.34.96.0/19;Spectrum NET PA space;AS8717
195.24.40.48/28;195.24.40.0 - 195.24.40.127;ASSIGNED PA;ORBITEL-PLOVDIV-1;Orbitel Plovdiv pop - routers, access server,Plovdiv, Bulgaria;195.24.40.0/22;Orbitel;AS8672
195.24.33.48/28;195.24.33.0 - 195.24.33.127;ASSIGNED PA;ORBITEL-BURGAS-1;Orbitel Burgas pop - routers, access server,Burgas, Bulgaria;195.24.32.0/19;Orbitel customer and internal;AS8672
89.190.196.32/27;89.190.196.0 - 89.190.196.255;ASSIGNED PA;SOFIA-MEGALAN;Megalan Network Ltd.;89.190.196.0/23;NAT and Internal;AS35141
87.227.150.192/26;87.227.150.0 - 87.227.151.255;ASSIGNED PA;VOICE-Burgas;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
176.12.34.128/27;176.12.34.0 - 176.12.35.255;ASSIGNED PA;New_PPOE_clients;New PPOE clients;176.12.0.0/18,176.12.0.0/18;Spectrum NET PA space,Spectrum NET PA space;AS29580,AS8717
84.242.131.192/26;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
212.50.27.80/28;212.50.27.80 - 212.50.27.95;ASSIGNED PA;HANDY-BG;HandyTel BG;212.50.0.0/19;Spectrum NET PA space;AS8717
83.97.28.224/28;83.97.24.0 - 83.97.31.255;ASSIGNED PI;HOMELAN;;83.97.24.0/21;HomeLan Ltd;AS8717
77.70.109.192/26;77.70.84.0 - 77.70.111.255;ASSIGNED PA;SOFIA-EAST-MEGALAN;East quarters - Iavorov;77.70.108.0/22;Barbukow;AS35141
82.147.153.64/26;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
89.190.204.176/28;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.204.0/23;Mania 2;AS35141
195.34.100.224/28;195.34.100.0 - 195.34.100.255;ASSIGNED PA;BIT-INC;Bulgarian Information Technologies Inc.;195.34.96.0/19;Spectrum NET PA space;AS8717
87.227.157.32/28;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
77.70.114.64/27;77.70.113.0 - 77.70.115.255;ASSIGNED PA;IZTOK-MEGALAN;East quarters - Iztok;77.70.114.0/24;Prez T;AS35141
195.24.38.160/27;195.24.38.128 - 195.24.38.255;ASSIGNED PA;ORBITEL-WIRELESS-SOFIA-1;Orbitel Inc,Sofia,wireless segment;195.24.32.0/19;Orbitel customer and internal;AS8672
